Student_ID,Age,Gender,Attendance_Rate,Prior_GPA,LMS_Logins,Study_Hours_Per_Week,Assignment_Submission_Rate,Engagement_Score,Final_Academic_Performance
1,20,Female,91.27,2.45,194,26.6,96.7,43.33,High
2,18,Female,96.21,3.03,206,5.9,45.2,42.43,Medium
3,19,Male,96.83,1.16,119,23.1,84.67,68.21,High
4,24,Male,51.69,1.15,152,12.3,72.1,52.65,Medium
5,17,Male,60.51,3.1,99,1.6,41.7,48.59,Low
6,17,Male,44.72,3.98,278,37.6,38.89,76.61,High
7,24,Female,97.95,3.57,298,12.5,91.83,28.27,High
8,18,Male,52.15,3.77,183,34.8,43.64,81.43,Medium
9,17,Female,68.48,3.41,115,21.1,64.98,84.31,Medium
10,17,Male,46.34,1.66,172,1.4,74.74,83.43,Medium
11,17,Female,40.97,1.31,234,10.5,87.45,52.15,High
12,19,Male,59.29,3.3,259,37.2,50.39,38.77,Medium
13,24,Male,87.9,3.7,169,24.8,69.51,66.05,High
14,17,Female,45.7,1.92,264,21.9,68.42,64.89,High
15,17,Female,58.21,2.82,37,22.3,43.42,46.35,Low
16,23,Male,77.08,3.34,253,19.3,55.96,81.58,Medium
17,24,Female,52.8,1.52,210,31.8,30.5,1.27,High
18,19,Female,77.3,1.18,223,16.9,45.79,74.66,Medium
19,23,Female,46.97,3.51,45,1.0,73.28,50.35,Low
20,24,Female,98.9,1.24,269,37.6,40.17,64.95,Medium
21,17,Male,75.62,1.11,256,26.8,91.63,98.83,High
22,20,Male,45.84,1.31,251,29.6,43.21,93.32,Medium
23,24,Female,79.72,1.74,248,29.4,85.53,32.87,Low
24,17,Female,76.78,3.83,162,38.3,82.78,36.46,Medium
25,20,Female,66.25,3.8,20,34.1,47.58,27.58,High
26,23,Male,92.56,1.18,231,17.1,80.04,34.95,Low
27,18,Female,83.5,2.91,123,20.8,65.79,55.38,High
28,18,Female,56.95,2.12,75,6.4,97.84,29.76,High
29,23,Male,77.59,3.44,93,28.7,32.32,24.71,Low
30,17,Female,59.12,2.52,89,15.5,39.73,26.96,Medium
31,24,Male,91.84,3.39,253,25.8,86.87,32.57,High
32,18,Male,97.48,2.62,10,15.6,67.76,20.18,High
33,19,Male,59.95,1.21,38,39.6,44.71,33.52,Medium
34,22,Female,68.42,1.74,153,12.4,77.49,21.05,Medium
35,23,Male,72.04,2.82,30,9.7,76.11,69.28,Medium
36,20,Female,54.29,1.68,92,38.6,77.02,94.44,High
37,18,Female,79.74,1.95,218,24.4,55.97,8.41,Medium
38,19,Female,67.45,1.76,134,25.6,72.63,8.57,High
39,18,Male,57.39,1.59,235,33.6,34.16,44.85,High
40,18,Female,94.17,2.34,261,11.4,38.35,92.88,Medium
41,22,Female,74.26,2.94,277,18.0,53.83,68.13,Medium
42,20,Male,94.64,1.39,47,35.1,35.71,84.77,Medium
43,17,Male,83.43,3.4,265,15.2,31.86,65.42,High
44,22,Male,56.13,2.01,175,16.4,84.46,53.18,Medium
45,24,Male,71.72,1.49,221,24.1,79.25,79.53,Medium
46,20,Male,70.33,3.15,58,37.7,70.09,99.49,Medium
47,24,Female,58.7,3.37,13,32.5,83.24,10.7,High
48,23,Female,96.18,1.2,70,36.4,33.3,94.37,Medium
